price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
1 800 DT,location,Appartement s+4 aux jardins de Carthage ref MAL0198,Jardin De Carthage, Tunis,,,,,
1 850 000 DT,vente,Terrain Pont Daoud,Sidi Daoud, Tunis,,,,1200,
340 000 DT,vente,Maison 3 étages à ibn sina 2,El Ouardia, Tunis,,8,336,,6
2 000 000 DT,vente,Terrain Club Gammarth plage,Gammarth, Tunis,,,,1218,
560 400 DT,vente,Un appartement s+3 mz911,Jardin De Carthage, Tunis,,,,,
360 000 DT,vente,Un appartement s+3 wahat,Aïn Zaghouan, Tunis,,,,,
285 000 DT,vente,Un appartement s+2 wahat,Aïn Zaghouan, Tunis,,,,,
188 000 DT,vente,Un appartement s+1,Aïn Zaghouan, Tunis,,,75,,
450 DT,location,Appartement a louer,El Kabaria, Tunis,1,3,75,,2
4 000 DT,location,Un bureau dans un centre médical au lac 2,Les Berges Du Lac, Tunis,,,140,,
7 000 DT,location,Bureau au lac 2,La Marsa, Tunis,,,235,,
2 000 DT,location,A louer étage de villa à mutuelleville,Mutuelleville, Tunis,2,4,,,3
75 DT / Nuit,location,Salon plus deux chambres meublés par nuitée,La Marsa, Tunis,1,2,200,200,2
3 800 DT,location,Duplex à gammarth supérieur Ref :MDL0001,La Marsa, Tunis,,,,,
200 DT,vente,Appartement à 10min de campus,Le Bardo, Tunis,,,110,,
2 500 DT,location,Duplex S+2 meublé vue sur mer à Gammarth,La Marsa, Tunis,1,3,140,,2
1 000 DT,location,Appartement s+1 à la marsa,La Marsa, Tunis,,,,,
430 000 DT,vente,Appartement s+3,Aïn Zaghouan, Tunis,,,,,
1 800 DT,location,Appartement s+3,Aïn Zaghouan, Tunis,,,,,
240 000 DT,vente,Local commercial lcz248,Jardin De Carthage, Tunis,,,,,
750 000 DT,vente,Duplex S+3 meublé vue sur mer à Gammarth,La Marsa, Tunis,2,4,148,,3
1 900 DT,location,Bureau s+3 lac 1,Les Berges Du Lac, Tunis,,,,,
2 000 DT,location,Local commercial lcz254,Aïn Zaghouan, Tunis,,,145,,
800 DT,location,Un appartement s+2,La Marsa, Tunis,,,,,
630 DT,location,S+2 bardo,Le Bardo, Tunis,,3,100,,2
1 800 DT,location,Duplex s+4,La Marsa, Tunis,,,,,
,vente,Terrain à Sidi Hassine pour promoteurs,Sidi Hassine, Tunis,,,,46274,
3 500 DT,location,Duplex au golden tulip s+2 ref MDL0013,La Marsa, Tunis,,,,,
4 500 DT,location,Duplesx s+3 au golden tulip MDL0026,Gammarth, Tunis,,,,,
300 000 DT,vente,Appartement très lumineux au lac 1,Les Berges Du Lac, Tunis,1,3,80,,2
1 900 DT,location,Appartement Meublé s+2 à sidi daoud ref: MAL0188,La Marsa, Tunis,,,,,
620 250 DT,vente,Appartement s+3,Jardin De Carthage, Tunis,,,,,
718 110 DT,vente,Appartement s+3,Jardin De Carthage, Tunis,,,,,
627 690 DT,vente,Appartement s+3,Jardin De Carthage, Tunis,,,,,
452 010 DT,vente,Appartement s+2,Jardin De Carthage, Tunis,,,,,
501 540 DT,vente,Appartement s+2,Jardin De Carthage, Tunis,,,,,
294 930 DT,vente,Appartement s+1,Jardin De Carthage, Tunis,,,,,
3 000 DT,location,Appartement Meublé s+2 à la marsa ref: AL3036,La Marsa, Tunis,,,,,
